"id","nome","source_folder","tags_secundarias","quantidade_secundarias","status"
"media_a22936611fd69af56158","Abdução de quadril sentado com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Abdução de quadril sentado com elástico","Elástico | Quadril | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_877fec69edcc64c77919","Abertura de ombros com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Abertura de ombros com elástico","Elástico | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_9f35291f6339ed5dd6bd","Abraços de joelho em pé","C:\Users\bruno\Downloads\Exercicios renomeados\Abraços de joelho em pé","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_2ef552cd5c5cbf18f018","Adução de quadril na máquina","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril na máquina","Máquina | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_7cda2e76df3a35c0c190","Adução de quadril por cabo","C:\Users\bruno\Downloads\Exercicios renomeados\Adução de quadril por cabo","Polia/Cabo | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_a3383043964927e80f3b","Adução do quadril no lado na máquina","C:\Users\bruno\Downloads\Exercicios renomeados\Adução do quadril no lado na máquina","Máquina | Academia","2","COM_SECUNDARIAS_NO_TXT"
"media_ca835c3df03be9182c98","Afundo com elástico","C:\Users\bruno\Downloads\Exercicios renomeados\Afundo com elástico","Elástico | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_6d941a848eb91bc3b607","Agachamento ATG unilateral","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento ATG unilateral","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_0171af930b5923a97fad","Agachamento búlgaro com barra","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com barra","Barra | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_7da8b8027fd4a8bddf1e","Agachamento búlgaro com halteres","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com halteres","Halteres | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_95d909e4b2fa7f05519b","Agachamento búlgaro com peso corporal","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com peso corporal","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_894cb9ea70d6cc338c49","Agachamento búlgaro com salto","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento búlgaro com salto","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_ca889a128e25892c02f4","Agachamento com barra","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra","Barra | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_892279af90fc558ba61e","Agachamento com barra acima da cabeça","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com barra acima da cabeça","Barra | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_777e48bfd6407d6d31b9","Agachamento com desenvolvimento landmine","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com desenvolvimento landmine","Barra | Tríceps | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_ee37945b37f1c70954a5","Agachamento com elevação de panturrilhas","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elevação de panturrilhas","Sem aparelhos | Casa","2","COM_SECUNDARIAS_NO_TXT"
"media_70496d9ffaae3087b483","Agachamento com elástico e barra","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com elástico e barra","Elástico | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_2aa40389276b9b58f83f","Agachamento com salto","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_5e86e9246ef52954ff49","Agachamento com salto com halteres","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto com halteres","Halteres | Glúteos | Academia","3","COM_SECUNDARIAS_NO_TXT"
"media_c331bce709f4bc3ca5f3","Agachamento com salto partindo de joelhos","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento com salto partindo de joelhos","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_6d2d5f55988dfe0c0214","Agachamento cossaco","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento cossaco","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_515f470fc5893566f881","Agachamento dividido sem peso","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento dividido sem peso","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
"media_68a2a250a1a499f0708a","Agachamento em reverência","C:\Users\bruno\Downloads\Exercicios renomeados\Agachamento em reverência","Glúteos | Sem aparelhos | Casa","3","COM_SECUNDARIAS_NO_TXT"
