"id","nome","nome_anterior","arquivo_gif","hash_gif","classificacao","possivel_equivalente_source","motivo"
"media_2dc1df89ee21cdc78c3f","Escalador cruzado","","gifs/Escalador - Mountain climber.gif","716f688328aaf5b71b8e665071ac6d149e4abf01ddca6185cfb6111c72d48ef8","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_30c91e25d5f6dc810edf","Desenvolvimento alternado com halteres em pé","Desenvolvimento alternado com halteres em pé","gifs/ombros/Elevação frontal da placa de peso - Variação 6.gif","c222f9ff6a11615f0524a6d16423a1735fc15b5288bd079535626f781e1c6ca7","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_3604155c790e7773dad9","Avanço com barra","Avanço com barra","gifs/perna/Avanço lateral com barra.gif","9b6dce4ede122e0495475703ec155b1ed70664a58ca447fcdf3ecbd243c26301","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_377beaa114d62af4723e","Supino inclinado com barra","Supino inclinado com barra","gifs/peitoral/Supino inclinado com barra.gif","d6c65746d63aa6f12370d3adf48de0ac5358862563a686939c90d4272acdcf1f","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_3854feeffe6d9766afb6","Abdominal canivete cruzado","Abdominal canivete cruzado","gifs/abdominais/Abdominal - Variação 5.gif","bf322f6e1fef7a48ff0ea8cb18a30afe1329da8171a39bd77b4bd64c7faebc61","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_3a8f978b55666bbe6872","Abdominal sentado no banco com joelhos ao peito","Abdominal sentado no banco com joelhos ao peito","gifs/abdominais/Perna sentada no banco puxada para dentro.gif","36ea52802bbee4ff3be01553e4dae71d7793071afa22af25e817ff8d451ed917","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_3bf852fb5d393017c6f7","Encolhimento de ombros com barra","Encolhimento de ombros com barra","gifs/trapézio/Encolher de ombros com barra.gif","4a962d7a8473089513ec8ece424529ede8f31f5302e9ff81c1fad98dcc8ebb45","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_3d58f1e842babfa309b4","Rosca Scott com halteres","Rosca Scott com halteres","gifs/biceps/Two com halteres preacher rosca.gif","be3cc3b518436e17c9b4dd087d8225837abc0d1569a6f4a3a7cb937b50ac99ae","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_432fd9da37b2f521850b","Remada alta com halteres - Variação 2","Remada alta com halteres - Variação 2","gifs/trapézio/Remada alta com halteres.gif","0394b6cdad5b0093fdcb812d421e6ac135bbfe1b1a49204480e4e8f45e9a1f41","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_43eb9dc40f4929c45699","Bicicleta ergométrica","Bicicleta ergométrica","gifs/cardio/Bicicleta ergométrica.gif","44a10c3fbb041e3475c7399a88fe43658a4963927f640862850f51c00025dbaf","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_43f45c654ebaccf9240b","Remada landmine unilateral","Remada landmine unilateral","gifs/costas/Remada da barra t.gif","0ba70c09e7fc33ac0296010d867eb6b42ce6f1a2ab1976e9da4e47d3a129cd2c","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_4465405e7809b638e2a1","Elevação lateral com halteres","Elevação lateral com halteres","gifs/ombros/Elevação frontal da placa de peso - Variação 5.gif","f3e7fcd7c8c4eac778411de795da2bf6237a6e18bf9bb4e2a3683c2c95e5581c","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_45d976bdfc586c4e200c","Extensão de tríceps acima da cabeça na polia","Extensão de tríceps acima da cabeça na polia","gifs/tríceps/Na polia deitado extensão de tríceps.gif","979e36d2227117fce4f460bdebc9809c59d84c117fb516cf5a47e0da305cb726","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_460afc167576f2dd8ffa","Abdução de quadril na máquina","Abdução de quadril na máquina","gifs/glúteos/Máquina de abdução de quadril.gif","ee47823fd3962271ebe0044e92e936473da71cddb9904bb4da2d88e08bfb33a9","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_497ea238f2e06028b467","Elevação de panturrilhas sentado com barra","Elevação de panturrilhas sentado com barra","gifs/perna/Agachamento com barra.gif","c8785ee15bcc7c1a0704e99b1b2e6db0850396436650ed92c66a51fbba45ef1e","POSSIVEL_DUPLICATA_DE_MIDIA","Rosca de punho com barra sentado","Hash do GIF coincide com ficha revisada já mapeada; requer decisão humana antes de consolidar."
"media_4b8d72f99bd19a655b8a","Remada alta com halteres","Remada alta com halteres","gifs/trapézio/Encolher de ombros com halteres - Variação 2.gif","d76d1504720d847c1737ed648ed7a59a6334e306d8053cd2e72f88b2fa02f778","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_4f0b1b4f4222c7239f1f","Levantamento terra com barra","Levantamento terra com barra","gifs/perna/Levantamento terra.gif","270f9ee23406e4638ff7522b2c06b101f2ac527c2b6f66e2bb2760d45d3cde26","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_518ccd373cc5065584c0","Supino em pé com elástico","Supino em pé com elástico","gifs/peitoral/Supino em pé com elástico.gif","938ed175dbcfcc0d987607e234dd164352eaeeb01f00e1128621ab51208eabd3","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_53616f31faba330535bc","Avanço reverso com halteres","Avanço reverso com halteres","gifs/perna/Avanço traseira com halteres.gif","a5266133d93eca260119be5db2221af6f337eb2f38dd404e74ebf6e3edd6fa0e","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
"media_53e9c83353bc06082e83","Leg press horizontal","Leg press horizontal","gifs/perna/Leg press horizontal.gif","0eee67d9cd0451b2bb230f7a579022eff14b3950f90403fdc32433010f0d035b","SEM_FONTE_REVISADA","","Não existe pasta/TXT correspondente na fonte revisada atual."
